episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
255,36.5627,2.693817,847,181,153,228,144,141,457.48
256,-79.2188,6.6451,246,54,51,73,37,31,259.65
257,-10.8054,6.909945,7,1,0,2,1,3,53.95
258,-39.5997,7.380308,75,11,14,7,31,12,104.5
259,-110.1366,11.84994,1200,217,226,381,193,183,555.73
260,97.4065,4.605326,552,114,94,80,192,72,487.92
261,-5.761,4.184881,109,31,14,36,8,20,223.65
262,53.1946,6.918174,577,116,96,84,203,78,406.95
263,-17.9299,9.346068,361,55,64,52,139,51,527.14
264,91.2291,3.37985,1132,208,220,332,180,192,643.25
265,35.6378,5.24413,412,107,67,123,46,69,232.92
266,-231.4601,9.356224,1253,252,264,356,190,191,264.82
267,-165.4687,11.459038,380,68,79,71,112,50,194.12
268,-4.6681,5.768712,406,61,88,63,122,72,657.42
269,-82.6679,7.493841,499,86,120,69,136,88,264.61
270,-127.6845,7.448169,490,93,98,82,151,66,600.61
271,-27.9579,8.391345,32,2,4,6,13,7,263.63
272,-67.6812,8.405782,186,35,41,29,33,48,404.44
273,14.9876,6.957325,511,90,112,68,157,84,655.22
274,-17.6401,4.222473,380,79,77,110,57,57,98.19
275,-9.4491,7.294828,476,92,88,78,155,63,135.06
276,-135.721,5.677584,736,150,128,230,128,100,665.15
277,54.1124,2.055577,932,151,159,350,146,126,441.92
278,25.7531,10.622389,1488,288,311,384,263,242,213.59
279,-178.6311,6.739034,1836,343,350,525,271,347,149.09
280,195.4927,7.326139,847,147,134,324,130,112,439.83
281,226.6239,1.523989,2375,460,463,616,420,416,163.9
282,-43.3773,8.162532,175,37,23,23,55,37,125.2
283,22.1467,7.041401,244,70,38,71,33,32,517.31
284,162.8719,3.971042,910,146,170,260,157,177,276.71
285,-122.1585,9.879266,246,48,44,87,29,38,93.71
286,-236.3716,7.116411,898,176,152,274,143,153,590.26
287,81.0916,6.850599,594,110,108,88,210,78,305.17
288,-28.0294,7.839904,63,9,12,15,9,18,66.51
289,-40.3412,7.840592,48,9,13,6,7,13,86.04
290,408.6008,11.845324,2301,454,500,478,474,395,204.72
291,85.3005,9.828895,1065,186,165,386,164,164,224.25
292,-25.0276,8.014742,626,124,111,206,95,90,412.36
293,23.461,4.798713,553,94,115,78,176,90,301.47
294,77.0019,9.510423,1809,314,339,543,309,304,427.84
295,-270.2218,5.329055,979,195,197,278,139,170,519.48
296,4.6875,6.027796,260,50,42,50,91,27,345.52
297,-2.0121,10.835614,779,128,130,110,290,121,523.99
298,8.0677,9.532363,209,33,33,32,83,28,433.24
299,-118.0378,9.377449,2016,389,371,598,323,335,249.76
300,35.6319,6.845231,792,118,149,134,289,102,524.51
301,28.6714,6.822809,266,43,44,81,43,55,347.27
302,46.0541,7.246293,2081,415,446,298,593,329,207.37
303,-23.6178,7.696446,324,49,87,42,88,58,546.78
304,-49.0616,4.67274,294,75,60,79,45,35,674.11
305,-60.3811,6.550265,212,53,46,24,60,29,381.56
306,-77.9538,6.934183,194,36,49,25,55,29,673.38
307,-126.1584,6.215664,800,118,165,244,130,143,144.72
308,1007.7758,4.657545,8058,1624,1609,1655,1750,1420,206.58
309,-117.5742,4.253265,2249,435,442,652,328,392,245.34
310,-70.7678,5.601816,189,27,36,23,70,33,481.69
311,119.5485,5.647614,2521,466,495,724,404,432,274.49
312,7.5385,5.298396,640,116,126,90,215,93,543.87
313,268.3181,5.561721,3264,662,674,503,873,552,164.14
314,385.825,5.808441,3641,693,693,519,1091,645,175.84
315,-120.4486,4.639451,3487,648,762,603,896,578,227.92
316,-59.539,0.979413,2176,501,447,340,542,346,217.48
317,-38.3535,0.993417,69,14,7,22,11,15,75.94
318,555.9523,3.959828,3517,677,652,932,592,664,228.97
319,347.3659,4.693363,2258,394,415,670,385,394,302.49
320,-91.6107,4.011738,205,31,48,36,62,28,771.1
321,384.1435,3.726654,2642,506,534,737,463,402,342.49
322,906.5278,4.063915,5337,991,1037,1298,997,1014,308.35
323,285.4408,3.341035,2601,461,515,707,428,490,223.73
324,-20.2948,3.310839,7,1,4,1,0,1,708.19
325,-24.8709,2.731725,12,2,2,4,3,1,91.22
326,-44.6573,1.318095,26,6,5,4,8,3,376.53
327,233.667,2.58379,2261,418,438,628,383,394,177.64
328,257.9472,3.321301,1630,288,373,444,235,290,191.82
329,269.0767,2.034787,2480,453,440,723,442,422,282.75
330,629.9878,3.055207,6814,1161,1420,1337,1466,1430,310.08
331,98.8581,2.304168,3699,723,696,1057,617,606,334.45
332,-234.297,0.985232,4776,1003,853,834,1142,944,261.27
333,273.4242,2.838364,3149,586,531,892,522,618,316.47
334,22.2506,3.280097,2177,402,431,589,350,405,199.68
335,-59.8485,2.390657,46,10,17,8,6,5,714.03
336,25.5152,2.288348,295,45,49,38,114,49,508.26
337,322.4673,1.901774,3044,611,642,704,544,543,196.24
338,-2.291,1.754827,97,13,13,23,14,34,242.65
339,103.4466,1.660554,2607,526,545,561,489,486,321.69
340,376.4913,1.379896,3233,586,628,791,592,636,262.95
341,10.5741,1.434875,195,23,52,28,65,27,562.45
342,109.5109,1.065671,2772,490,525,489,708,560,418.33
343,64.9909,1.190399,656,112,129,105,172,138,232.53
344,608.4257,1.180618,5148,983,1049,1191,1060,865,310.04
345,416.8647,1.23129,5193,1025,1094,1208,919,947,250.02
346,540.4943,1.024517,4487,891,903,1092,743,858,311.58
347,811.7483,1.253233,6500,1347,1374,1437,1120,1222,299.7
348,-11.7648,1.471256,623,130,82,152,141,118,388.44
349,1436.7376,1.257226,15022,2947,2942,3165,3214,2754,307.46
350,862.6422,1.100595,5076,896,999,1239,881,1061,293.08
351,421.2669,0.981047,5943,1187,1165,1526,1003,1062,297.34
352,286.846,0.714964,4627,938,973,995,845,876,286.24
353,542.9637,1.709083,6239,1149,1148,1301,1427,1214,287.86
354,370.6955,1.090609,2226,548,413,381,372,512,172.52
355,164.7212,1.591623,1044,152,193,171,217,311,317.74
356,242.5111,1.354744,3282,610,619,747,662,644,309.38
357,497.742,1.163061,3162,718,512,741,559,632,293.73
358,254.1255,1.046974,3523,638,790,617,811,667,389.63
359,740.0505,1.26618,7008,1300,1377,1483,1482,1366,327.25
360,449.2537,1.312252,3292,585,598,657,689,763,300.89
361,-17.3794,1.423055,25,2,6,4,8,5,60.89
362,6.9887,0.720677,329,67,62,55,57,88,333.76
363,542.9067,0.741518,4935,1062,889,1110,969,905,197.61
364,23.8857,1.554556,473,77,91,108,90,107,610.82
365,749.2655,0.772197,4839,910,913,1045,965,1006,342.59
366,78.5576,1.066197,2177,425,463,391,535,363,310.19
367,-262.0928,1.100801,2884,578,593,662,572,479,335.84
368,530.4683,1.286733,4070,861,765,799,816,829,358.75
369,-35.6131,1.111098,2157,457,556,367,448,329,204.24
370,175.085,1.204081,3352,659,692,671,702,628,276.78
371,-148.9341,1.555066,564,99,172,122,93,78,135.15
372,-73.4296,1.081174,373,62,67,51,84,109,250.49
373,328.0651,1.345433,4348,855,910,876,942,765,187.79
374,-54.4544,1.622517,324,64,56,40,107,57,208.77
375,374.8196,1.391739,2309,414,396,475,557,467,311.38
376,108.0032,0.735092,948,197,189,188,170,204,266.41
377,382.9923,1.532469,1806,303,327,309,488,379,344.08
378,-567.9438,1.519299,1751,320,361,335,462,273,210.85
379,-209.3555,1.239523,3103,550,670,644,673,566,395.63
380,62.8532,1.341438,507,126,80,123,72,106,481.67
381,56.2286,0.855604,1583,267,350,310,301,355,353.64
382,103.1743,1.284661,1671,329,355,347,303,337,433.43
383,148.4737,1.81202,1722,342,340,254,464,322,368.95
384,182.141,0.93042,995,156,181,160,249,249,379.88
385,-26.684,1.708141,282,73,60,68,40,41,152.92
386,-63.3562,2.172396,185,31,48,30,48,28,816.01
387,193.5078,1.64639,2130,423,449,510,372,376,352.03
388,278.8781,1.72212,2639,477,516,424,622,600,342.3
389,155.7057,1.526333,4846,916,1100,885,1025,920,351.67
390,-78.5065,0.726896,699,127,158,112,191,111,770.94
391,-5.0473,1.3868,1174,296,204,190,245,239,202.77
392,-10.0,0.949761,1,0,0,1,0,0,35.51
393,149.1563,1.66753,2490,451,522,418,644,455,251.52
394,-27.2193,1.132103,112,29,20,33,18,12,96.32
395,529.5684,1.091714,4339,832,985,768,892,862,305.4
396,-67.0948,1.944572,284,50,44,95,49,46,591.07
397,-44.5161,0.743974,1137,253,229,224,194,237,264.46
398,592.2513,1.260763,5981,1096,1281,1133,1408,1063,311.4
399,0.8851,1.363711,2351,563,373,494,434,487,431.17
400,24.3824,1.490773,529,96,85,105,123,120,630.09
401,175.9096,1.01605,3076,611,695,496,704,570,266.73
402,69.9728,0.794079,1389,284,198,371,233,303,351.85
403,40.7729,1.412333,2603,513,623,417,658,392,265.65
404,63.8628,1.313714,1614,325,391,309,351,238,214.33
405,491.6814,1.191295,4679,1104,831,1113,735,896,323.89
406,337.1488,1.188544,2325,461,552,415,542,355,187.19
407,-92.5893,1.322196,164,33,56,25,26,24,95.73
408,270.3674,1.277645,1436,308,282,415,207,224,396.77
409,1635.0228,0.515353,12404,2540,2615,2443,2492,2314,301.46
410,381.382,1.223404,3369,608,667,632,773,689,286.06
411,243.3847,1.297719,2304,511,433,390,517,453,266.09
412,25.8217,1.363249,222,54,28,88,26,26,529.89
413,220.5436,1.055653,2557,598,515,545,436,463,339.98
414,-57.3869,0.654592,2643,542,614,413,593,481,232.65
415,-33.5305,1.575022,383,67,73,137,58,48,552.13
416,55.1703,0.942197,998,209,211,143,290,145,150.91
417,-183.396,1.460665,2629,545,577,437,673,397,277.79
418,200.7281,1.265485,2499,477,534,461,506,521,284.89
419,-10.0,1.166418,1,0,1,0,0,0,26.17
420,304.4065,0.916312,3045,579,726,532,701,507,346.3
421,-73.7915,1.325542,3796,845,732,811,769,639,348.15
422,1122.7442,1.202516,7394,1411,1733,1430,1418,1402,261.66
423,1110.6911,1.265825,6494,1251,1492,1311,1252,1188,339.42
424,-31.3874,1.174053,84,33,17,6,18,10,66.24
425,15.4762,0.975072,706,102,128,158,186,132,475.9
426,29.9394,1.15254,596,116,138,163,101,78,534.42
427,9.6056,1.032804,1563,283,305,330,344,301,184.47
428,-10.0,0.796197,1,0,0,0,1,0,35.0
429,335.4522,0.894537,2388,523,492,644,384,345,274.43
430,884.6698,1.019864,6504,1164,1379,1324,1412,1225,331.58
431,142.4975,2.964845,1629,282,341,405,299,302,354.21
432,25.5273,0.863374,953,224,221,188,189,131,443.99
433,-12.7705,0.849901,2081,442,425,300,527,387,304.32
434,-12.6135,0.940684,748,155,157,88,195,153,271.66
