episode,score,loss,ep_length,action_0,action_1,action_2,action_3,action_4,shark_dist_avg
206,-225.7702,1.609434,403,101,68,73,89,72,818.07
207,-23.0008,1.353523,1690,268,295,481,341,305,503.03
208,117.6922,1.971,957,165,194,290,143,165,688.37
209,62.9316,1.357568,1889,349,350,530,338,322,593.07
210,-80.6726,1.230101,1289,204,264,407,208,206,296.54
211,38.2683,1.183601,636,108,129,175,133,91,514.99
212,-72.6698,1.517769,466,95,93,115,67,96,534.03
213,137.7341,0.735256,1057,163,217,295,180,202,261.53
214,-30.6446,1.473607,448,76,83,91,93,105,524.56
215,-92.1324,2.133628,897,152,165,278,141,161,461.59
216,259.3013,2.414895,2317,405,447,684,379,402,507.51
217,0.2266,0.703352,245,46,62,38,36,63,610.67
218,274.1148,1.534265,2113,368,345,683,394,323,284.57
219,40.7912,0.963561,305,55,48,72,68,62,554.03
220,137.4433,2.193558,651,112,107,116,138,178,379.49
221,-61.6022,1.385125,64,28,11,11,8,6,776.35
222,274.1494,1.344836,3999,759,769,1052,697,722,385.31
223,20.8219,1.682101,973,207,162,277,166,161,503.54
224,35.2944,2.153711,2004,373,420,550,336,325,596.4
225,183.3117,0.626233,2082,402,369,577,343,391,516.52
226,79.568,1.196351,811,162,168,136,192,153,666.32
227,196.4708,1.184542,3189,629,611,932,504,513,452.94
228,-36.5191,1.224452,438,100,77,74,79,108,482.98
229,73.693,1.015036,597,109,97,201,86,104,382.21
230,43.7441,1.6289,754,118,169,214,117,136,701.1
231,177.5865,1.06492,3803,717,731,1076,626,653,429.07
232,214.908,1.058214,4100,800,817,1039,713,731,411.17
233,-96.3695,0.983405,3654,728,731,947,624,624,389.67
234,383.7947,1.560225,2502,431,467,704,431,469,442.75
235,-70.8201,1.434232,1763,324,349,408,322,360,408.42
236,90.0437,1.150538,475,97,105,86,64,123,480.33
237,47.8113,1.652267,513,125,95,79,105,109,490.54
238,279.8227,1.298937,3649,686,721,927,705,610,416.0
239,152.7301,1.41808,4189,765,758,1257,676,733,289.25
240,3.9886,1.220966,1925,361,411,461,326,366,326.89
241,75.2702,1.409815,323,61,64,46,50,102,547.11
242,95.6033,1.145759,2411,443,454,656,412,446,397.36
243,319.7233,1.14684,4596,879,867,1349,763,738,364.42
244,371.8261,1.18469,4410,865,864,1223,718,740,383.41
245,491.2999,1.166646,4881,1001,1027,1194,835,824,356.78
246,537.576,1.211242,5312,1019,998,1193,1076,1026,341.32
247,597.2122,0.976876,4975,948,922,1355,816,934,310.95
248,694.8893,0.70496,5970,1184,1215,1364,1131,1076,334.66
249,288.3574,1.239042,2278,445,463,566,416,388,530.92
250,850.7751,0.829747,6344,1251,1249,1780,1010,1054,288.1
251,477.4467,0.928161,4332,842,802,1116,761,811,373.16
252,339.84,0.561925,4541,871,886,1079,817,888,324.76
253,406.0252,0.736242,2411,481,395,623,384,528,445.55
254,854.2552,0.991349,6800,1350,1196,1612,1251,1391,330.85
255,322.0215,0.819497,4458,811,890,978,917,862,398.21
256,-227.4232,0.796455,762,172,113,178,179,120,522.22
257,581.7786,0.506471,3781,760,704,987,617,713,398.51
258,759.7059,0.753445,4601,830,878,1158,906,829,365.56
259,604.508,0.815505,4179,745,815,986,825,808,334.26
260,457.128,0.725505,4619,916,839,1177,797,890,395.4
261,-10.0,0.635243,1,0,0,1,0,0,26.4
262,-164.9949,0.440391,370,51,54,91,98,76,84.24
263,330.4546,2.127566,4370,853,777,1105,845,790,407.16
264,446.6702,0.681038,4033,815,729,1020,744,725,410.07
265,746.499,0.373769,4425,806,861,1118,791,849,306.07
266,-69.5073,0.584346,180,37,37,29,55,22,278.82
267,-48.6766,0.712728,46,9,12,10,8,7,128.25
268,13.8122,0.658537,348,56,89,63,66,74,699.93
269,1362.8803,0.886279,9944,2073,1806,2263,1871,1931,368.44
270,-16.5671,0.916148,27,4,13,1,4,5,61.6
271,-36.2244,0.460198,21,8,3,3,5,2,641.56
272,856.6809,1.071537,4501,821,878,1055,857,890,401.42
273,348.6528,0.801963,4221,854,808,1029,741,789,406.96
274,111.3259,1.334288,3590,649,752,748,679,762,399.54
275,-161.0456,0.931389,534,112,96,136,91,99,401.72
276,-31.6012,0.98842,78,16,10,18,14,20,348.02
277,666.0855,0.795746,6233,1265,1184,1307,1252,1225,358.39
278,-330.6499,0.853266,1312,277,238,264,287,246,318.43
279,-64.9821,1.507727,615,104,157,115,150,89,505.04
280,583.8552,0.851982,6740,1428,1318,1453,1286,1255,424.4
281,230.5669,0.637191,4144,817,839,1040,685,763,272.68
282,548.491,0.878576,7717,1520,1514,1724,1494,1465,395.96
283,459.8942,0.384234,4293,846,769,979,771,928,404.31
284,78.1141,0.808029,420,73,83,71,85,108,593.5
285,-126.0078,0.634618,1803,442,302,304,357,398,364.38
286,305.3271,0.815347,3614,691,685,859,660,719,476.25
287,623.7563,0.82507,5065,1034,921,1140,995,975,417.76
288,-27.1167,0.660043,14,2,1,6,3,2,754.98
289,725.5134,0.689575,6886,1357,1306,1524,1406,1293,423.82
290,-10.0,1.074528,1,0,0,0,1,0,40.25
291,-57.057,0.778819,6779,1303,1288,1426,1435,1327,425.93
292,376.8696,0.893661,4221,909,810,1017,695,790,448.8
293,534.9098,0.834188,5467,1177,1024,1118,1085,1063,420.68
294,-56.2988,0.722221,69,11,6,28,11,13,183.26
295,18.3586,0.798719,4395,798,871,1090,805,831,404.82
296,-109.5343,0.81269,436,70,72,109,73,112,279.27
297,343.8961,0.659855,7410,1514,1466,1720,1349,1361,386.38
298,272.9632,0.772507,2404,409,431,435,666,463,255.01
299,255.7371,0.703648,2714,520,579,584,498,533,272.75
300,574.2913,0.814684,7941,1619,1553,1802,1518,1449,409.85
301,462.7222,0.666423,8527,1629,1956,1717,1741,1484,308.27
302,53.6724,0.964146,4202,921,817,1095,714,655,420.19
303,-13.6238,1.358884,308,45,60,74,80,49,537.76
304,425.0042,0.892428,5677,1105,1106,1117,1226,1123,403.57
305,-92.3736,0.865559,744,190,163,112,161,118,499.93
306,401.345,0.866374,3391,642,675,658,779,637,242.82
307,170.7611,0.976397,3186,616,638,686,594,652,254.07
308,-370.0057,0.687846,2327,438,490,614,401,384,600.45
309,149.0363,0.855304,743,128,125,152,128,210,370.19
310,261.9284,1.003214,3912,791,798,847,788,688,428.15
311,686.3476,0.813569,6056,1330,1206,1293,1109,1118,414.45
312,137.618,0.636485,3770,747,781,932,634,676,443.1
313,471.2729,0.856044,6114,1216,1201,1342,1201,1154,411.82
314,-24.9045,1.095128,11,3,1,3,2,2,293.8
315,450.5642,0.80163,2295,477,460,479,395,484,282.55
316,178.3585,0.704503,3829,727,800,920,739,643,436.73
317,297.1523,1.012795,2195,430,337,647,342,439,167.09
318,-23.3194,0.988437,11,3,3,0,2,3,122.08
319,76.2165,0.900163,2170,520,364,411,437,438,368.0
320,189.2145,0.995897,2886,547,578,746,450,565,203.51
321,314.0235,0.598866,3223,633,620,856,551,563,435.79
322,203.5161,0.966764,1839,338,357,485,297,362,622.58
323,-123.4331,0.902764,2588,494,506,704,417,467,558.84
324,84.4533,0.760647,1441,340,232,363,232,274,438.48
325,253.7823,0.915874,2716,479,548,783,416,490,231.78
326,123.2471,0.853187,5384,1034,1034,1337,1014,965,363.84
327,-32.7259,0.892159,18,3,7,2,2,4,691.8
328,-15.9119,0.667376,4271,823,857,1093,822,676,432.14
329,85.4494,0.782413,7033,1422,1402,1445,1525,1239,267.22
330,132.334,0.888128,1810,310,352,541,339,268,594.88
331,459.7061,0.735518,5276,1058,1113,1243,1022,840,393.34
332,218.7267,1.017971,3557,676,733,742,749,657,425.62
333,480.7899,0.8715,5933,1254,1086,1416,1108,1069,348.64
334,117.1342,0.828937,1071,233,218,232,184,204,688.47
335,53.8975,0.812947,1122,225,220,305,168,204,460.86
336,422.6517,0.722761,2466,414,455,788,373,436,193.23
337,-79.1092,0.80571,3907,751,786,690,1052,628,472.95
338,377.059,0.77286,5725,1093,1115,1364,1081,1072,229.59
339,128.2087,0.903639,2838,517,594,678,609,440,548.74
340,94.1907,0.870995,3840,749,826,1039,641,585,456.28
341,250.2643,0.828247,1149,228,233,231,189,268,329.58
342,-15.895,0.688073,3862,801,772,981,734,574,469.08
343,-17.0633,0.81014,3995,796,807,937,870,585,451.77
344,-32.5562,1.209299,2029,409,412,525,369,314,374.81
345,85.2211,0.509571,4039,777,825,838,950,649,387.73
346,262.4028,0.614731,4027,771,862,997,750,647,405.24
347,49.9718,0.977321,5136,1059,1044,1199,944,890,400.4
348,-27.8417,0.564148,83,11,15,27,17,13,796.84
349,983.4313,0.813208,8603,1702,1705,1778,1918,1500,297.32
350,141.3347,1.046321,740,132,116,262,103,127,546.52
351,-64.4351,0.804155,123,18,22,25,20,38,90.15
352,-121.9185,0.928388,142,28,23,51,21,19,100.94
353,277.2603,0.853066,3689,764,724,940,626,635,458.71
354,-35.316,1.1703,83,32,14,9,13,15,72.92
355,262.6165,0.476326,2732,502,495,908,422,405,250.99
356,147.3826,0.67315,2846,543,615,498,690,500,300.74
357,-13.3,1.091606,3,2,0,1,0,0,651.4
358,835.3097,0.875169,6835,1272,1284,1836,1344,1099,343.94
359,508.8803,1.00059,4336,829,809,1053,936,709,385.77
360,-20.475,0.809163,3007,626,669,512,697,503,302.45
361,228.3787,1.17362,3214,686,640,796,577,515,250.06
362,-52.2485,1.12129,71,6,5,33,10,17,88.05
363,64.3598,0.38783,476,91,83,128,65,109,633.29
364,240.1831,1.128588,1984,327,403,509,383,362,392.42
365,362.1775,1.185995,5975,1253,1162,1419,1062,1079,363.56
366,307.4001,1.175055,2728,556,502,692,490,488,237.14
367,188.4024,1.090242,4030,804,872,935,789,630,449.92
368,162.6598,1.5836,958,167,175,302,165,149,377.86
369,1046.3037,1.007622,7233,1279,1342,1931,1314,1367,370.01
370,-34.1259,1.941448,22,4,4,10,1,3,130.71
371,808.2688,1.06121,7534,1526,1591,1432,1596,1389,299.03
372,499.9028,1.051414,4271,869,827,1035,807,733,345.67
373,796.1535,0.928039,6083,1100,1108,1553,980,1342,423.63
374,536.6129,1.16193,5882,1149,1174,1194,1303,1062,377.44
375,-65.8379,1.133833,214,49,47,56,33,29,591.56
376,898.1468,1.202255,5776,1074,1033,1143,1391,1135,375.09
377,-71.0174,0.852958,234,58,53,34,55,34,522.14
378,495.5188,1.020977,5542,1071,1185,1034,1260,992,369.21
379,186.7385,0.979097,896,143,166,250,136,201,672.46
380,64.1858,1.030401,528,102,103,96,123,104,745.8
381,433.1404,0.877231,4181,809,817,1081,718,756,432.21
382,298.8958,0.966106,2542,458,510,545,534,495,494.4
383,351.5038,1.158221,1449,269,255,360,258,307,477.2
384,659.3359,0.772103,5563,1057,1037,1354,1082,1033,353.98
385,-186.939,1.093142,3989,754,886,771,938,640,432.91
386,752.6075,3.40205,5741,1226,1105,1148,1099,1163,397.22
387,-10.0,0.969158,1,0,1,0,0,0,34.83
388,494.0124,1.001961,3200,618,559,893,551,579,213.8
389,-10.0,0.422615,1,0,1,0,0,0,47.43
390,28.7799,0.99673,2737,489,655,603,553,437,552.06
391,128.5528,0.940256,2950,594,659,743,540,414,523.98
392,293.1681,0.90264,3941,773,839,841,854,634,396.08
393,610.4178,1.081172,3359,624,682,966,488,599,207.17
394,109.954,1.042542,3509,680,736,938,615,540,445.7
395,-91.9237,1.025738,73,6,6,29,23,9,114.14
396,1151.0563,1.024327,7848,1575,1536,1909,1313,1515,271.87
397,62.971,1.02889,3765,787,758,929,644,647,444.05
398,82.5086,0.521319,1126,199,213,353,164,197,575.57
399,159.637,0.785931,940,159,166,297,170,148,172.38
400,-10.0,0.380722,1,0,0,0,0,1,33.62
401,294.4745,0.379913,3591,671,665,1101,596,558,406.32
402,295.2895,0.731691,3629,806,742,956,566,559,442.52
403,1052.067,0.612659,9204,1693,1735,2356,1730,1690,331.8
404,204.0541,0.470567,3858,728,846,859,805,620,431.17
405,329.875,0.686395,4016,801,799,874,787,755,379.65
406,256.8467,0.682976,4374,843,865,1142,743,781,380.99
407,265.725,0.644815,4017,778,775,742,1032,690,384.43
408,250.1359,0.64887,4038,840,818,791,867,722,392.88
409,24.0795,0.469726,3872,808,773,741,970,580,430.08
410,-34.0891,0.406661,160,23,31,48,22,36,626.26
411,70.0022,0.285092,315,39,44,99,55,78,562.87
412,187.7839,0.703748,2184,404,419,704,331,326,327.6
413,440.6429,0.20319,3904,788,732,778,941,665,397.35
414,153.758,0.561876,3724,766,729,628,955,646,436.11
415,86.821,0.571099,3834,796,797,669,961,611,432.92
416,136.0765,0.782477,4135,881,826,1006,806,616,381.2
417,172.1937,0.589878,4108,834,759,930,885,700,386.17
418,43.9496,0.56849,4025,802,828,631,1139,625,430.76
419,-10.0,0.465106,1,0,0,0,1,0,46.04
420,-21.5263,0.445027,31,7,3,3,14,4,484.61
421,173.422,0.882667,2499,521,491,726,375,386,319.19
422,-19.1538,0.353163,63,7,8,6,31,11,481.04
423,418.6715,0.669501,4296,853,777,935,968,763,371.16
424,-10.0,0.449641,1,0,0,1,0,0,795.5
425,154.7641,0.567739,3999,851,773,734,1072,569,437.49
426,343.4996,0.402383,3860,699,673,1012,742,734,444.48
427,146.7389,0.455659,3569,712,715,814,747,581,468.79
428,202.0832,0.388505,3418,668,667,737,769,577,389.5
429,387.1497,0.47922,3740,724,706,780,830,700,473.71
430,85.8712,0.499098,3542,703,690,732,780,637,448.08
431,487.0269,0.486791,3968,789,748,791,919,721,358.45
432,-87.7482,0.292837,139,34,20,35,28,22,108.53
433,-74.2793,0.52635,281,35,70,63,77,36,585.05
434,-56.6141,0.375335,486,82,77,99,116,112,537.63
435,359.8226,0.42882,5307,1033,998,1258,1075,943,407.42
436,92.945,0.489133,4385,806,802,913,1055,809,351.85
437,44.6124,0.34482,3951,859,803,933,772,584,420.13
438,57.035,0.443443,3849,760,749,965,674,701,440.58
439,683.6731,0.530617,4914,926,915,1166,974,933,351.46
440,811.3231,0.566546,7118,1308,1279,1510,1627,1394,323.79
441,176.5859,0.609182,3117,632,622,703,664,496,522.55
